Cause,Org,Unit,Copy Text Pattern,Community Text Pattern,Description,Category,Photo,Learn More Link,Donation Link
A Student's Education in Cambodia,Caring for Cambodia,$0.82 = 1 Day of Education,to help fund [N] Days of Education in Cambodia,skipped [item] to help fund [N] Days of Education in Cambodia,"Your savings fund a full year of quality education for a child in Cambodia, including tuition, uniforms, and school supplies.",Education,Yes,,https://www.caringforcambodia.org/donate
A Chromebook for A Student In Kenya,Kenya Connect,$250 = 1 Chromebook,to help fund [N]% of A Chromebook for A Student In Kenya,skipped [item] to help fund [N]% of A Chromebook for A Student In Kenya,Help equip students in remote Kenyan villages with a Chromebook,Education,No,,https://www.kenyaconnect.org/donate
A Mobile Library for Schools in Kenya,Kenya Connect,$166.67 = 1 Mobile Library,to help fund [N]% of A Mobile Library for Schools in Kenya,skipped [item] to help fund [N]% of A Mobile Library for Schools in Kenya,"Your savings help bring a mobile library to schools in rural Kenya, giving students access to books and learning resources.",Education,No,,https://www.kenyaconnect.org/donate
Life-Saving Meals in Palestine,Share the Meal,$0.80 = 1 Life-Saving Meal,to help fund [N] Life-Saving Meals in Palestine,skipped [item] to help fund [N] Life-Saving Meals in Palestine,Your savings provide emergency meals to families in need in Palestine.,Meals,No,,https://sharethemeal.org/en-us/campaigns/palestine11
Emergency Meals in Ukraine,Share the Meal,$0.80 = 1 Emergency Meal,to help fund [N] Emergency Meals in Ukraine,skipped [item] to help fund [N] Emergency Meals in Ukraine,Your savings provide emergency meals to families displaced by conflict in Ukraine.,Meals,No,,https://sharethemeal.org/en-us/campaigns/ukraine1
Meals in Syria,Share the Meal,$0.80 = 1 Meal,to help fund [N] Meals in Syria,skipped [item] to help fund [N] Meals in Syria,Your savings provide meals to families in need in Syria.,Meals,No,,https://sharethemeal.org/en-us/campaigns/syria10
Malaria Diagnostic Tests,Malaria Consortium,$0.41 = 1 Malaria Test,to help fund [N] Malaria Tests,skipped [item] to help fund [N] Malaria Tests,"Rapid diagnostic tests that detect malaria in minutes, enabling life-saving treatment in remote areas.",Health,No,https://www.malariaconsortium.org/about-us/who-we-are,https://www.malariaconsortium.org/donate-to-malaria-consortium
Vials of Malaria Medication,Malaria Consortium,$2.17 = 1 Malaria Medication Vial,to help fund [N] Malaria Medication Vials,skipped [item] to help fund [N] Malaria Medication Vials,"Critical antimalarial medication vials that treat severe malaria cases, especially in young children.",Health,No,https://www.malariaconsortium.org/about-us/who-we-are,https://www.malariaconsortium.org/donate-to-malaria-consortium
Malaria Mosquito Nets,Malaria Consortium,$2.27 = 1 Mosquito Net,to help fund [N] Mosquito Nets,skipped [item] to help fund [N] Mosquito Nets,Long-lasting insecticidal nets that protect families from malaria-carrying mosquitoes while they sleep.,Health,No,https://www.malariaconsortium.org/about-us/who-we-are,https://www.malariaconsortium.org/donate-to-malaria-consortium
Barbra's Education in Kenya,The School Fund,$1.64 = 1 Day of Education,to help fund [N] Days of Education in Kenya,skipped [item] to help fund [N] Days of Education in Kenya,"Your savings help fund Barbra's education in Kenya, giving her the opportunity to stay in school and build a better future.",Education,No,,https://theschoolfund.org/cgi-bin/dyn?c=view&t=student&i=8828&year=2027
